Ciudad,Año,Índice de Costo de Vida_x,Índice de Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Esperanza vida
Copenhague,2018,97.62,50.66,77.53,121.23,192.9,113.31,78.43,73.81,8.37,30.76,23.4,81.0
Copenhague,2019,84.59,47.57,65.35,102.5,194.51,109.33,76.17,77.12,8.85,28.89,21.47,81.5
Copenhague,2020,86.23,44.49,62.78,104.61,187.68,90.7,76.48,78.33,9.29,28.65,20.78,81.6
Copenhague,2021,97.49,51.91,77.35,109.23,182.71,84.96,72.46,77.68,8.39,28.61,21.06,81.5
Copenhague,2022,88.34,49.42,71.49,106.02,185.34,90.67,72.67,78.21,9.15,28.49,21.34,81.3
Copenhague,2023,82.26,45.8,63.62,98.31,188.93,96.99,73.46,78.02,9.0,28.5,21.36,81.4
Tallin,2014,69.59,18.97,60.18,57.92,140.7,48.06,68.91,74.54,12.54,25.5,9.57,77.4
Tallin,2015,64.82,18.68,49.97,56.19,139.07,49.36,70.43,71.38,11.87,23.0,15.61,78.0
Tallin,2016,50.52,15.53,39.48,48.13,174.62,78.76,73.79,67.43,11.38,20.27,17.0,78.0
Tallin,2017,51.37,15.33,37.57,53.13,165.57,68.76,76.98,68.42,11.42,28.52,21.16,78.4
Tallin,2018,60.51,17.66,45.31,61.04,169.3,74.02,79.54,69.16,9.91,36.86,21.83,78.5
Tallin,2019,52.8,17.14,37.28,55.4,175.51,75.29,79.48,70.65,9.65,28.56,22.23,79.0
Tallin,2020,52.53,17.54,37.41,56.05,173.94,71.09,77.74,71.34,9.34,26.57,23.17,78.9
Tallin,2021,59.2,18.86,44.92,61.01,168.65,60.15,77.5,71.28,9.74,26.77,22.58,77.2
Tallin,2022,55.75,19.24,42.71,58.55,171.17,64.89,77.11,71.88,9.69,26.62,22.41,78.2
Tallin,2023,59.57,19.7,44.33,61.48,166.86,60.46,75.34,72.54,12.32,26.49,20.89,79.18
Helsinki,2015,94.2,41.63,90.76,101.59,166.31,91.39,64.37,71.37,10.94,27.0,19.83,81.6
Helsinki,2016,79.61,36.32,70.25,86.45,180.24,129.76,68.67,75.43,10.17,31.0,21.42,81.5
Helsinki,2017,78.35,36.93,66.79,85.36,174.73,110.6,72.85,74.64,10.31,35.97,18.04,81.7
Helsinki,2018,87.77,40.52,73.82,96.5,186.75,113.87,75.58,75.15,10.99,36.0,13.99,81.8
Helsinki,2019,78.33,33.97,62.63,87.27,186.4,105.32,77.42,73.93,12.39,32.08,13.01,82.1
Helsinki,2020,72.36,35.72,59.99,82.03,184.06,93.13,77.8,77.11,12.08,32.23,12.65,82.0
