Ciudad,Año,Índice de Costo de Vida_x,Índice de Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Esperanza vida
Estocolmo,2018,90.85,45.27,84.06,93.71,164.16,108.2,52.42,67.61,15.56,38.98,17.19,82.6
Estocolmo,2019,78.75,40.21,68.89,85.59,166.45,104.0,52.82,68.13,14.42,37.16,16.73,83.2
Estocolmo,2020,76.09,37.56,64.57,80.08,162.52,92.18,55.6,67.54,14.18,37.56,17.74,82.4
Estocolmo,2021,87.49,42.09,77.77,89.59,155.5,80.77,54.9,66.83,14.22,36.09,19.81,83.1
Estocolmo,2022,78.92,43.96,70.58,82.0,163.76,95.42,53.92,66.42,12.78,35.38,19.2,83.1
Estocolmo,2023,70.81,36.5,63.14,66.54,163.37,94.61,53.89,66.63,14.27,35.2,18.5,83.33
Nicosia,2019,64.65,18.01,57.12,66.36,142.27,60.65,70.67,49.65,7.98,21.94,60.66,82.3
Nicosia,2020,62.73,18.83,51.59,65.67,140.77,55.5,70.11,52.24,6.97,26.15,59.59,82.4
Nicosia,2021,68.78,20.77,58.21,69.29,137.88,57.01,67.49,52.37,5.24,26.15,64.62,81.3
Nicosia,2022,64.53,19.34,52.57,65.96,137.87,60.28,67.34,50.72,6.01,25.25,65.67,81.7
Nicosia,2023,55.73,19.26,45.88,54.87,145.28,63.78,69.51,54.49,6.65,25.07,61.04,81.51
